,PLAYER,GP,MIN,PIE,Year,overall,yearsAfter
9,Allen Iverson,76,40.0,10.7,1996,1.0,0
12,Amal McCaskill,17,6.4,5.4,1996,49.0,0
21,Antoine Walker,82,36.2,9.4,1996,6.0,0
31,Ben Davis,20,4.9,2.2,1996,43.0,0
48,Brian Evans,14,4.1,6.7,1996,27.0,0
77,Chris Robinson,41,16.6,4.5,1996,51.0,0
109,Dee Brown,21,24.9,7.4,1996,46.0,-10
114,Derek Fisher,80,11.5,7.8,1996,24.0,0
160,Erick Dampier,72,14.6,7.0,1996,10.0,0
178,Glen Rice,79,42.5,12.5,1996,35.0,-17
208,Jamie Feick,41,15.2,6.2,1996,48.0,0
213,Jason Sasser,8,8.4,2.5,1996,41.0,0
217,Jeff McInnis,13,9.0,9.0,1996,37.0,0
218,Jermaine O'Neal,45,10.2,9.7,1996,17.0,0
221,Jerome Williams,33,5.3,8.0,1996,26.0,0
238,John Wallace,68,11.6,9.3,1996,18.0,0
250,Kerry Kittles,82,36.8,10.2,1996,8.0,0
259,Kobe Bryant,71,15.5,9.0,1996,13.0,0
275,Lorenzen Wright,77,25.2,7.2,1996,7.0,0
282,Malik Rose,54,9.7,6.5,1996,44.0,0
284,Marcus Brown,21,8.7,6.7,1996,46.0,0
285,Marcus Camby,63,30.1,10.7,1996,2.0,0
290,Mark Hendrickson,29,10.3,7.1,1996,31.0,0
296,Martin Muursepp,42,8.3,6.7,1996,25.0,0
314,Moochie Norris,8,10.9,6.5,1996,33.0,0
323,Othella Harrington,57,15.1,6.5,1996,30.0,0
326,Patrick Ewing,78,37.0,17.4,1996,43.0,-12
331,Priest Lauderdale,35,5.1,5.3,1996,28.0,0
335,Randy Livingston,64,15.3,5.5,1996,42.0,0
337,Ray Allen,82,31.0,8.9,1996,5.0,0
339,Reggie Geary,39,6.2,5.3,1996,56.0,0
359,Roy Rogers,82,22.6,6.9,1996,22.0,0
366,Samaki Walker,43,14.0,7.4,1996,9.0,0
376,Shandon Anderson,65,16.4,6.8,1996,54.0,0
379,Shareef Abdur-Rahim,80,35.0,11.1,1996,3.0,0
390,Stephon Marbury,67,34.7,10.7,1996,4.0,0
391,Steve Hamer,35,7.6,4.7,1996,38.0,0
393,Steve Nash,65,10.5,6.9,1996,15.0,0
408,Todd Fuller,75,12.6,4.5,1996,11.0,0
413,Tony Delk,61,14.2,9.3,1996,16.0,0
420,Travis Knight,71,16.3,8.3,1996,29.0,0
428,Vitaly Potapenko,80,15.5,4.1,1996,12.0,0
432,Walter McCarty,35,5.4,0.9,1996,19.0,0
441,Zydrunas Ilgauskas,82,29.0,13.8,1997,20.0,1
449,Walter McCarty,82,28.6,6.8,1997,19.0,1
453,Vitaly Potapenko,80,17.6,8.5,1997,12.0,1
463,Travis Knight,74,20.3,7.9,1997,29.0,1
466,Tracy McGrady,64,18.4,11.1,1997,9.0,0
471,Tony Delk,77,21.8,9.2,1997,16.0,1
472,Tony Battie,65,23.2,7.7,1997,5.0,0
477,Todd Fuller,57,10.8,8.2,1997,11.0,1
479,Tim Thomas,77,23.1,9.0,1997,7.0,0
483,Tim Duncan,82,39.1,17.5,1997,1.0,0
492,Tariq Abdul-Wahad,59,16.3,5.3,1997,11.0,0
495,Steve Nash,76,21.9,11.5,1997,15.0,1
498,Stephon Marbury,82,38.0,10.8,1997,4.0,1
510,Shareef Abdur-Rahim,82,35.9,12.7,1997,3.0,1
512,Shandon Anderson,82,19.5,11.2,1997,54.0,1
520,Scot Pollard,33,9.6,7.8,1997,19.0,0
521,Samaki Walker,41,25.1,9.9,1997,9.0,1
