TEMP_PLAYER_ID_x,PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_CLASS
,2124,Malik,Allen,Malik Allen,PF-C,25.5,29.0,11.83,,3.38,13.0,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,,2000
,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,,29.0,13.8,,,0.0,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,,2000
,12020,Lamont,Barnes,Lamont Barnes,PF-C,28.0,29.5,12.3,,3.4,10.0,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,2000
,12131,Mario,Bland,Mario Bland,PF,27.0,31.0,13.04,,3.47,15.0,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,,2000
,2056,Primoz,Brezec,Primoz Brezec,C,26.0,29.5,11.53,,3.55,,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,,2000
,2081,Ernest,Brown,Ernest Brown,C,,,,,,2.0,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,2000
,2049,Speedy,Claxton,Speedy Claxton,PG,36.0,42.5,10.48,,3.06,6.0,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,,2000
,12132,Eric,Coley,Eric Coley,SG-SF,35.0,38.0,11.4,,3.15,10.0,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,,2000
,12133,Ed,Cota,Ed Cota,PG,26.5,33.5,10.98,,3.24,1.0,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,,2000
,12134,Schea,Cotton,Schea Cotton,SF,34.0,38.0,11.55,,3.0,19.0,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,2000
