BIG_BOARD,NAME,GRADE,POSITION,COLLEGE,COLLEGE_YEAR,DRAFT_YEAR
1,BlakeGriffin,105,PF,Oklahoma,So.,2009
2,JamesHarden,98,SG,Arizona St.,So.,2009
3,RickyRubio,97,PG,FC Barcelona,1990,2009
4,JordanHill,96,PF,Arizona,Jr.,2009
5,BrandonJennings,97,PG,Virtus Roma,1989,2009
6,HasheemThabeet,97,C,UConn,Jr.,2009
7,StephenCurry,92,PG/SG,Davidson,Jr.,2009
8,DeMarDeRozan,95,SG,USC,Fr.,2009
9,BJMullens,94,C,Ohio St.,Fr.,2009
10,JonnyFlynn,94,PG,Syracuse,So.,2009
11,EarlClark,93,SF,Louisville,Jr.,2009
12,JamesJohnson,95,SF,Wake Forest,So.,2009
13,GeraldHenderson,94,SG/SF,Duke,Jr.,2009
14,JeffTeague,93,PG,Wake Forest,So.,2009
15,TyrekeEvans,94,SG,Memphis,Fr.,2009
16,WayneEllington,95,SG,North Carolina,Jr.,2009
17,EricMaynor,93,PG,VCU,Sr.,2009
18,ChaseBudinger,95,SG/SF,Arizona,Jr.,2009
19,DerrickBrown,93,SF,Xavier,Jr.,2009
20,DeJuanBlair,93,PF,Pittsburgh,So.,2009
21,TylerHansbrough,93,PF,North Carolina,Sr.,2009
22,TerrenceWilliams,90,SG/SF,Louisville,Sr.,2009
23,DaJuanSummers,93,SF,Georgetown,Jr.,2009
24,OmriCasspi,91,SF,Maccabi Tel Aviv,1988,2009
25,TyLawson,91,PG,North Carolina,Jr.,2009
26,VictorClaver,92,SF,Pamesa Valencia,1988,2009
27,TajGibson,90,PF,USC,Jr.,2009
28,DarrenCollison,91,PG,UCLA,Sr.,2009
29,ToneyDouglas,89,PG/SG,Florida St.,Sr.,2009
30,SamYoung,90,SF,Pittsburgh,Sr.,2009
31,JrueHoliday,91,PG/SG,UCLA,Fr.,2009
32,DionteChristmas,89,SG,Temple,Sr.,2009
33,JonasJerebko,88,SF,Angelico Biella,1987,2009
34,JermaineTaylor,88,SG,Central Florida,Sr.,2009
35,PatrickMills,89,PG,St. Mary's,So.,2009
36,MarcusThornton,90,SG,LSU,Sr.,2009
37,JoshHeytvelt,90,PF,Gonzaga,Sr.,2009
38,AustinDaye,90,SF,Gonzaga,So.,2009
39,JeffPendergraph,90,PF,Arizona St.,Sr.,2009
40,RodrigueBeaubois,88,PG,Cholet Basket,1988,2009
41,CurtisJerrells,90,PG,Baylor,Sr.,2009
42,NickCalathes,90,PG,Panathinaikos,1989,2009
43,JerelMcNeal,0,SG,Marquette,Sr.,2009
44,JeffAdrien,89,PF,UConn,Sr.,2009
45,LeoLyons,88,SF/PF,Missouri,Sr.,2009
46,DanteCunningham,89,SF/PF,Villanova,Sr.,2009
47,RobertDozier,75,SF/PF,Memphis,Sr.,2009
48,DannyGreen,0,SF,North Carolina,Sr.,2009
49,TyreseRice,91,PG,Boston College,Sr.,2009
50,DeMarreCarroll,89,SF/PF,Missouri,Sr.,2009
51,VyacheslavKravtsov,90,C,BC Kyiv,1987,2009
52,SergioLlull,86,PG,Real Madrid,1987,2009
53,WesleyMatthews,85,SG,Marquette,Sr.,2009
54,JodieMeeks,85,SG,Kentucky,Jr.,2009
55,TerrelHarris,85,SG,Oklahoma State,Sr.,2009
56,ChrisJohnsonn,85,PF/C,LSU,Sr.,2009
57,SergiiGladyr,88,SG,Mykolayiv,1989,2009
58,AJPrice,89,PG,UConn,Sr.,2009
59,VitorFaverani,0,PF/C,Unicaja Malaga,1988,2009
60,CourtneyFells,0,SG,NC State,Sr.,2009
61,LeeCummard,87,SG,,Sr.,2009
62,AlonzoGee,90,SG,Alabama,Sr.,2009
63,GarretSiler,83,C,Augusta St.,Sr.,2009
64,AlexRuoff,0,SG,West Virginia,Sr.,2009
65,MilenkoTepic,86,PG/SG,Partizan Belgrade,1987,2009
66,ChristianEyenga,85,SG/SF,DKV Joventut,1989,2009
67,EmirPreldzic,86,SG/SF,Fenerbahce Ulker,1987,2009
68,HenkNorel,90,PF/C,DKV Joventut,1987,2009
69,PaulHarris,89,SG/SF,Syracuse,Jr.,2009
70,ChinemeluElonu,0,PF,Texas A&M,Jr.,2009
71,JonBrockman,86,PF,Washington,Sr.,2009
72,NandoDe,84,PG/SG,Cholet Basket,1987,2009
73,JackMcClinton,85,SG,Miami,Sr.,2009
74,StefonJackson,0,SG,UTEP,Sr.,2009
75,AladeAminu,74,SF/PF,Georgia Tech,Sr.,2009
76,JoshAkognon,87,PG,Cal State Fullerton,Sr.,2009
77,BrandonCostner,0,SF,NC State,Jr.,2009
78,LesterHudson,88,PG/SG,Tennessee-Martin,Sr.,2009
79,RobertVaden,89,SG,UAB,Sr.,2009
80,MicahDowns,87,SG/SF,Gonzaga,Sr.,2009
81,DanielHackett,0,PG/SG,USC,Jr.,2009
82,LukeNevill,86,C,Utah,Sr.,2009
83,AJAbrams,0,PG/SG,Texas,Sr.,2009
84,JoshShipp,88,SG,UCLA,Sr.,2009
85,DominicJames,86,PG,Marquette,Sr.,2009
86,JeremyPargo,89,PG,Gonzaga,Sr.,2009
87,RussellHicks,0,C,Florida International,Sr.,2009
88,PatrickBeverly,88,PG/SG,Dnipro Dnepropetrovsk (Ukraine),1988,2009
89,JoshCarter,88,SG,Texas A&M,Sr.,2009
90,CedricJackson,0,PG,Cleveland St.,Sr.,2009
91,LuigiDatome,0,SF,Lottomatica Virtus Roma,1987,2009
92,AntonioAnderson,0,SG,Memphis,Sr.,2009
93,JoeIngles,0,SG/SF,South Dragons,1987,2009
94,KevinRogers,0,SF/PF,Baylor,Sr.,2009
95,CharlieColey,86,SF,Charlotte,Sr.,2009
96,LorrenzoWade,0,SG,San Diego St.,Sr.,2009
97,EricDevendorf,85,PG/SG,Syracuse,Jr.,2009
98,LewisClinch,0,SG,Georgia Tech,Sr.,2009
99,DarTucker,0,SG,DePaul,So.,2009
100,ConnorAtchley,89,PF,Texas,Sr.,2009
1,JohnWall,103,PG,Kentucky,Fr.,2010
2,EvanTurner,97,SG,Ohio St.,Jr.,2010
3,DerrickFavors,98,PF,Georgia Tech,Fr.,2010
4,WesleyJohnson,97,SF,Syracuse,Jr.,2010
5,GregMonroe,96,PF/C,Georgetown,So.,2010
6,PatrickPatterson,96,PF,Kentucky,Jr.,2010
7,DeMarcusCousins,94,PF/C,Kentucky,Fr.,2010
8,LukeBabbitt,94,SF/PF,Nevada,So.,2010
9,Al-FarouqAminu,96,SF,Wake Forest,So.,2010
10,PaulGeorge,95,SF,Fresno St.,So.,2010
11,EdDavis,94,PF,North Carolina,So.,2010
12,XavierHenry,93,SG,Kansas,Fr.,2010
13,AveryBradley,93,SG,Texas,Fr.,2010
14,HassanWhiteside,94,C,Marshall,Fr.,2010
15,ColeAldrich,93,C,Kansas,Jr.,2010
16,GordonHayward,92,SF,Butler,So.,2010
17,EkpeUdoh,92,PF,Baylor,Jr.,2010
18,DevinEbanks,93,SF,West Virginia,So.,2010
19,JamesAnderson,92,SG,Oklahoma State,Jr.,2010
20,DanielOrton,92,PF/C,Kentucky,Fr.,2010
21,ElliotWilliams,94,SG,Memphis,So.,2010
22,ArmonJohnson,91,PG/SG,Nevada,Jr.,2010
23,CraigBrackins,92,PF,Iowa St.,Jr.,2010
24,GaniLawal,91,PF,Georgia Tech,Jr.,2010
25,DominiqueJones,92,SG,South Florida,Jr.,2010
26,TerricoWhite,92,PG/SG,Mississippi,So.,2010
27,EricBledsoe,90,PG/SG,Kentucky,Fr.,2010
28,LarrySanders,92,PF/C,VCU,Jr.,2010
29,DamionJames,92,SF,Texas,Sr.,2010
30,StanleyRobinson,92,SF,UConn,Sr.,2010
31,KevinSeraphin,90,PF/C,Cholet,1989,2010
32,WillieWarren,89,PG/SG,Oklahoma,So.,2010
33,LanceStephenson,91,SG,Cincinnati,Fr.,2010
34,NemanjaBjelica,92,SF,Red Star,1988,2010
35,QuincyPondexter,90,SF,Washington,Sr.,2010
36,JordanCrawford,89,SG,Xavier,So.,2010
37,TrevorBooker,90,PF,Clemson,Sr.,2010
38,DwayneCollins,88,PF,Miami,Sr.,2010
39,LazarHayward,90,SF,Marquette,Sr.,2010
40,TinyGallon,90,PF,Oklahoma,Fr.,2010
41,JeromeJordan,90,C,Tulsa,Sr.,2010
42,SolomonAlabi,89,C,Florida St.,So.,2010
43,Da'SeanButler,91,SF,West Virginia,Sr.,2010
44,TiborPleiss,90,C,Brose Baskets,1989,2010
45,GreivisVasquez,91,PG/SG,Maryland,Sr.,2010
46,MannyHarris,89,SG,Michigan,Jr.,2010
47,MikhailTorrance,89,PG/SG,Alabama,Sr.,2010
48,MacKoshwal,89,PF,DePaul,Jr.,2010
49,JarvisVarnado,88,PF,Mississippi St.,Sr.,2010
50,LataviousWilliams,88,PF,Tulsa 66ers (D-League),1989,2010
51,ArtParakhouski,89,C,Radford,Sr.,2010
52,MattBouldin,86,PG/SG,Gonzaga,Sr.,2010
53,SamardoSamuels,89,PF,Louisville,So.,2010
54,DaringtonHobson,89,SF,New Mexico,Jr.,2010
55,DenisClemente,88,PG,Kansas State,Sr.,2010
56,MarquisGilstrap,87,SF,Iowa St.,Sr.,2010
57,HamadyNdiaye,87,C,Rutgers,Sr.,2010
58,CharlesGarcia,82,SF/PF,Seattle,Jr.,2010
59,LandonMilbourne,88,SF,Maryland,Sr.,2010
60,LukeHarangody,72,SF/PF,Notre Dame,Sr.,2010
61,SherronCollins,88,PG,Kansas,Sr.,2010
62,AlexeyShved,91,PG/SG,Dynamo Moscow,1988,2010
63,AndyRautins,86,SG,Syracuse,Sr.,2010
64,AJOgilvy,87,C,Vanderbilt,Jr.,2010
65,MiroslavRaduljica,87,C,FMP Zeleznik,1988,2010
66,DexterPittman,86,C,Texas,Sr.,2010
67,MichaelWashington,87,PF,Arkansas,Sr.,2010
68,PauloPrestes,86,PF/C,CB Murcia,1988,2010
69,RyanRichards,87,PF/C,Gran Canaria,1991,2010
70,ThomasHeurtel,86,PG,Strasbourg,1989,2010
71,DerrickCaracter,87,PF,UTEP,Jr.,2010
