PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PIE_5_YR
2037,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',175,82,6' 10'',102.5,8' 6.5'',2000,1999-00,0,2983,Michigan,20,17,16,33.9,6.2,15,0.412,1.9,5.9,0.327,2.4,3,0.784,0.4,2.4,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.7
2084,Chris,Porter,Chris Porter,SF-PF,77.5,6' 5.5'',214,81.5,6' 9.5'',103.5,8' 7.5'',2000,1999-00,0,2467,Auburn,22,26,26,29,5.4,11.7,0.464,0.2,0.7,0.235,3.6,5.3,0.676,3.6,3.7,7.3,1.2,2,0.3,2.1,2.7,14.6,0
2217,Brendan,Haywood,Brendan Haywood,C,83.75,6' 11.75'',266,90.5,7' 6.5'',113.5,9' 5.5'',2001,2000-01,0,3104,North Carolina,21,33,33,27.3,4.7,7.9,0.592,0,0,,2.9,5.6,0.516,3.2,4.2,7.3,1.3,0.5,3.6,2,2.9,12.3,5
2210,Richard,Jefferson,Richard Jefferson,SF,79.25,6' 7.25'',223,84,7' 0'',103,8' 7'',2001,2000-01,0,2507,Arizona,21,35,34,27.5,4.2,8.8,0.479,0.9,2.6,0.344,2.1,3.1,0.655,1.7,3.8,5.4,2.7,0.8,0.8,3,2.8,11.3,14.5
2207,Joe,Johnson,Joe Johnson,SF-SG,78.75,6' 6.75'',226,81,6' 9'',105,8' 9'',2001,2000-01,0,2494,Arkansas,20,30,27,29.1,5.4,11.5,0.468,1.2,2.6,0.443,2.3,3,0.747,2.2,4.2,6.4,2.6,1.4,0.4,2.3,1.5,14.2,12.5
2202,Jason,Richardson,Jason Richardson,SF-SG,76.75,6' 4.75'',213,83.5,6' 11.5'',102.5,8' 6.5'',2001,2000-01,0,2989,Michigan State,20,33,32,28.5,5.5,11,0.503,1.5,3.7,0.402,2.2,3.2,0.689,1.8,4.1,5.9,2.2,1.2,0.8,1.3,2.2,14.7,12.4
2486,Maurice,Baker,Maurice Baker,PG,71.75,5' 11.75'',178,76,6' 4'',96,8' 0'',2002,2001-02,0,3392,Oklahoma State,22,29,23,30,4.6,10.8,0.426,1.5,4,0.368,2.2,2.7,0.844,2.2,3.2,5.4,3.3,1.3,0.2,2.8,2,12.9,0
2440,Matt,Barnes,Matt Barnes,SF,78.75,6' 6.75'',226,81,6' 9'',96.5,8' 0.5'',2002,2001-02,0,2535,California-Los Angeles,22,31,31,30.7,4.9,10.4,0.471,1.4,3.3,0.417,2.4,3.8,0.619,1.5,4.7,6.2,3.5,1.1,0.3,2.8,2.4,13.5,9.3
2430,Carlos,Boozer,Carlos Boozer,PF,79.75,6' 7.75'',258,86.25,7' 2.25'',108.5,9' 0.5'',2002,2001-02,0,3111,Duke,20,35,35,28.4,6.6,9.9,0.665,0,0,0,5.1,6.7,0.754,3.4,5.3,8.7,1.1,0.9,0.6,1.8,3.1,18.2,18.1
2406,Caron,Butler,Caron Butler,SF-SG,77.25,6' 5.25'',222,83.5,6' 11.5'',103.5,8' 7.5'',2002,2001-02,0,2609,Connecticut,22,34,34,36,7.4,15.4,0.485,0.9,2.2,0.4,4.6,5.9,0.779,3.2,4.4,7.5,3,2.1,0.4,2.9,2.2,20.3,11.9
