,PLAYER,GP,MIN,PIE,Year,overall,yearsAfter
0,Allen Iverson,76,40.0,10.7,1996,1.0,0
1,Amal McCaskill,17,6.4,5.4,1996,49.0,0
2,Antoine Walker,82,36.2,9.4,1996,6.0,0
3,Ben Davis,20,4.9,2.2,1996,43.0,0
4,Brian Evans,14,4.1,6.7,1996,27.0,0
5,Chris Robinson,41,16.6,4.5,1996,51.0,0
6,Dee Brown,21,24.9,7.4,2006,46.0,0
7,Derek Fisher,80,11.5,7.8,1996,24.0,0
8,Erick Dampier,72,14.6,7.0,1996,10.0,0
9,Glen Rice,79,42.5,12.5,2013,35.0,0
10,Jamie Feick,41,15.2,6.2,1996,48.0,0
11,Jason Sasser,8,8.4,2.5,1996,41.0,0
12,Jeff McInnis,13,9.0,9.0,1996,37.0,0
13,Jermaine O'Neal,45,10.2,9.7,1996,17.0,0
14,Jerome Williams,33,5.3,8.0,1996,26.0,0
15,John Wallace,68,11.6,9.3,1996,18.0,0
16,Kerry Kittles,82,36.8,10.2,1996,8.0,0
17,Kobe Bryant,71,15.5,9.0,1996,13.0,0
18,Lorenzen Wright,77,25.2,7.2,1996,7.0,0
19,Malik Rose,54,9.7,6.5,1996,44.0,0
20,Marcus Brown,21,8.7,6.7,1996,46.0,0
21,Marcus Camby,63,30.1,10.7,1996,2.0,0
22,Mark Hendrickson,29,10.3,7.1,1996,31.0,0
23,Martin Muursepp,42,8.3,6.7,1996,25.0,0
24,Moochie Norris,8,10.9,6.5,1996,33.0,0
25,Othella Harrington,57,15.1,6.5,1996,30.0,0
26,Patrick Ewing,78,37.0,17.4,2008,43.0,0
27,Priest Lauderdale,35,5.1,5.3,1996,28.0,0
28,Randy Livingston,64,15.3,5.5,1996,42.0,0
29,Ray Allen,82,31.0,8.9,1996,5.0,0
30,Reggie Geary,39,6.2,5.3,1996,56.0,0
31,Roy Rogers,82,22.6,6.9,1996,22.0,0
32,Samaki Walker,43,14.0,7.4,1996,9.0,0
33,Shandon Anderson,65,16.4,6.8,1996,54.0,0
34,Shareef Abdur-Rahim,80,35.0,11.1,1996,3.0,0
35,Stephon Marbury,67,34.7,10.7,1996,4.0,0
36,Steve Hamer,35,7.6,4.7,1996,38.0,0
37,Steve Nash,65,10.5,6.9,1996,15.0,0
38,Todd Fuller,75,12.6,4.5,1996,11.0,0
39,Tony Delk,61,14.2,9.3,1996,16.0,0
40,Travis Knight,71,16.3,8.3,1996,29.0,0
41,Vitaly Potapenko,80,15.5,4.1,1996,12.0,0
42,Walter McCarty,35,5.4,0.9,1996,19.0,0
43,Zydrunas Ilgauskas,82,29.0,13.8,1997,20.0,1
44,Walter McCarty,82,28.6,6.8,1997,19.0,1
45,Vitaly Potapenko,80,17.6,8.5,1997,12.0,1
46,Travis Knight,74,20.3,7.9,1997,29.0,1
47,Tracy McGrady,64,18.4,11.1,1997,9.0,0
48,Tony Delk,77,21.8,9.2,1997,16.0,1
49,Tony Battie,65,23.2,7.7,1997,5.0,0
50,Todd Fuller,57,10.8,8.2,1997,11.0,1
51,Tim Thomas,77,23.1,9.0,1997,7.0,0
52,Tim Duncan,82,39.1,17.5,1997,1.0,0
53,Tariq Abdul-Wahad,59,16.3,5.3,1997,11.0,0
54,Steve Nash,76,21.9,11.5,1997,15.0,1
55,Stephon Marbury,82,38.0,10.8,1997,4.0,1
56,Shareef Abdur-Rahim,82,35.9,12.7,1997,3.0,1
57,Shandon Anderson,82,19.5,11.2,1997,54.0,1
58,Scot Pollard,33,9.6,7.8,1997,19.0,0
59,Samaki Walker,41,25.1,9.9,1997,9.0,1
60,Roy Rogers,15,7.1,-0.3,1997,22.0,1
61,Ron Mercer,80,33.2,9.1,1997,6.0,0
62,Rodrick Rhodes,58,18.5,2.7,1997,24.0,0
63,Reggie Geary,62,11.1,2.7,1997,56.0,1
64,Ray Allen,82,40.1,10.9,1997,5.0,1
65,Randy Livingston,12,6.9,2.6,1997,42.0,1
66,Priest Lauderdale,39,8.9,5.8,1997,28.0,1
67,Patrick Ewing,26,32.6,17.5,2009,43.0,1
68,Othella Harrington,58,15.6,8.4,1997,30.0,1
69,Maurice Taylor,71,21.3,8.9,1997,14.0,0
70,Martin Muursepp,41,14.7,7.4,1997,25.0,1
71,Marko Milic,33,4.9,11.6,1997,33.0,0
72,Mark Pope,28,6.8,-1.3,1997,52.0,1
73,Mark Hendrickson,48,15.3,7.1,1997,31.0,1
74,Marcus Camby,63,31.7,8.4,1997,2.0,1
75,Malik Rose,53,8.1,4.4,1997,44.0,1
76,Lorenzen Wright,69,29.9,9.6,1997,7.0,1
77,Kobe Bryant,79,26.1,11.6,1997,13.0,1
78,Kerry Kittles,77,36.5,11.3,1997,8.0,1
79,Kelvin Cato,74,13.6,7.5,1997,15.0,0
80,Keith Van Horn,62,37.6,9.5,1997,2.0,0
81,Keith Booth,6,2.8,6.1,1997,28.0,0
82,Kebu Stewart,15,7.5,9.1,1997,35.0,0
83,Johnny Taylor,12,8.9,-1.4,1997,17.0,0
84,John Wallace,82,28.8,8.5,1997,18.0,1
85,John Thomas,54,9.9,4.1,1997,25.0,0
86,Jerome Williams,77,16.9,10.8,1997,26.0,1
87,Jermaine O'Neal,60,13.5,7.7,1997,17.0,1
88,Jerald Honeycutt,38,13.9,6.0,1997,38.0,0
89,Jeff Nordgaard,13,3.7,6.5,1997,53.0,1
90,Jason Lawson,17,4.6,12.7,1997,41.0,0
91,Jamie Feick,45,10.0,6.9,1997,48.0,1
92,James Cotton,9,3.8,5.5,1997,32.0,0
93,James Collins,23,4.4,5.8,1997,36.0,0
94,Jacque Vaughn,45,9.3,4.2,1997,27.0,0
95,God Shammgod,20,7.3,3.7,1997,45.0,0
96,Glen Rice,82,40.2,11.3,2014,35.0,1
97,Erick Dampier,82,32.4,8.7,1997,10.0,1
98,Eric Washington,66,23.3,4.8,1997,46.0,0
99,Ed Gray,30,15.7,5.9,1997,22.0,0
100,Drew Barry,27,9.5,8.3,1997,57.0,1
101,Dontae' Jones,15,6.1,-0.3,1997,21.0,1
102,Derek Fisher,82,21.5,9.7,1997,24.0,1
103,Derek Anderson,66,27.8,11.9,1997,13.0,0
104,Dee Brown,72,23.9,9.4,2007,46.0,1
105,DeJuan Wheat,34,4.3,8.6,1997,51.0,0
106,Danny Fortson,80,22.7,7.9,1997,10.0,0
107,Chris Robinson,35,11.9,4.8,1997,51.0,1
108,Chris Crawford,40,6.4,9.7,1997,50.0,0
109,Chris Anstey,41,16.6,7.7,1997,18.0,0
110,Chauncey Billups,80,27.7,9.0,1997,3.0,0
111,Charles Smith,34,8.6,5.0,1997,26.0,0
112,Charles O'Bannon,30,7.8,6.7,1997,31.0,0
113,Cedric Henderson,82,30.8,7.7,1997,44.0,0
114,Bubba Wells,39,10.0,6.8,1997,34.0,0
115,Brian Evans,72,12.4,7.0,1997,27.0,1
116,Brevin Knight,80,31.1,13.0,1997,16.0,0
117,Bobby Jackson,68,30.1,9.8,1997,23.0,0
118,Ben Davis,7,1.7,-6.7,1997,43.0,1
119,Austin Croshere,26,9.4,3.9,1997,12.0,0
120,Antonio Daniels,74,26.4,6.8,1997,4.0,0
121,Antoine Walker,82,39.9,12.6,1997,6.0,1
122,Anthony Parker,37,5.3,8.4,1997,21.0,0
123,Anthony Johnson,77,29.4,5.5,1997,39.0,0
124,Alvin Williams,54,19.8,6.9,1997,47.0,0
125,Allen Iverson,80,39.4,13.5,1997,1.0,1
126,Adonal Foyle,55,12.0,4.8,1997,8.0,0
127,Adonal Foyle,44,13.9,8.1,1998,8.0,1
128,Al Harrington,21,7.6,0.8,1998,25.0,0
129,Allen Iverson,48,41.5,15.4,1998,1.0,2
130,Alvin Williams,50,21.0,6.9,1998,47.0,1
131,Andrae Patterson,35,8.1,7.3,1998,46.0,0
132,Antawn Jamison,47,22.5,11.2,1998,4.0,0
133,Anthony Johnson,49,18.1,8.2,1998,39.0,1
134,Anthony Parker,2,1.4,-66.7,1998,21.0,1
135,Antoine Walker,42,36.9,10.7,1998,6.0,2
136,Antonio Daniels,47,13.1,13.4,1998,4.0,1
137,Austin Croshere,27,9.3,7.3,1998,12.0,1
138,Ben Davis,8,2.5,13.5,1998,43.0,2
139,Bobby Jackson,50,18.8,11.2,1998,23.0,1
140,Bonzi Wells,7,5.1,13.7,1998,11.0,0
141,Brevin Knight,39,30.5,12.9,1998,16.0,1
142,Brian Evans,16,8.9,10.6,1998,27.0,2
143,Brian Skinner,21,12.2,8.2,1998,22.0,0
144,Bruno Sundov,3,3.6,-12.5,1998,35.0,0
145,Bryce Drew,34,13.0,3.0,1998,16.0,0
146,Casey Shaw,9,1.5,-30.0,1998,37.0,0
147,Cedric Henderson,50,30.4,6.7,1998,44.0,1
148,Charles O'Bannon,18,9.1,8.2,1998,31.0,1
149,Charles Smith,23,13.7,1.7,1998,26.0,1
150,Chauncey Billups,45,33.1,8.1,1998,3.0,1
151,Chris Anstey,41,11.5,2.9,1998,18.0,1
152,Chris Crawford,42,18.6,4.4,1998,50.0,1
153,Corey Benjamin,31,10.3,2.6,1998,28.0,0
154,Cory Carr,42,14.8,2.5,1998,49.0,0
155,Cuttino Mobley,49,29.7,7.1,1998,41.0,0
156,Danny Fortson,50,28.4,11.9,1998,10.0,1
157,DeJuan Wheat,46,12.8,8.5,1998,51.0,1
