name,salary,season_start,season_end
Stephen Curry ,37457154,2018,2019
Russell Westbrook ,35665000,2018,2019
Chris Paul ,35654150,2018,2019
LeBron James ,35654150,2018,2019
Kyle Lowry ,32700000,2018,2019
Blake Griffin ,31873932,2018,2019
Gordon Hayward ,31214295,2018,2019
James Harden ,30570000,2018,2019
Paul George ,30560700,2018,2019
Mike Conley ,30521115,2018,2019
Kevin Durant ,30000000,2018,2019
Paul Millsap ,29230769,2018,2019
Al Horford ,28928710,2018,2019
Damian Lillard ,27977689,2018,2019
DeMar DeRozan ,27739975,2018,2019
Chris Bosh ,26837720,2018,2019
Jrue Holiday ,26641111,2018,2019
Otto Porter ,26011913,2018,2019
CJ McCollum ,25759766,2018,2019
Nikola Jokic ,25467250,2018,2019
Andrew Wiggins ,25467250,2018,2019
Joel Embiid ,25467250,2018,2019
Anthony Davis ,25434263,2018,2019
Andre Drummond ,25434262,2018,2019
Bradley Beal ,25434262,2018,2019
Hassan Whiteside ,24434262,2018,2019
Dwight Howard ,24256725,2018,2019
Giannis Antetokounmpo ,24157304,2018,2019
Steven Adams ,24157304,2018,2019
Kevin Love ,24119025,2018,2019
Marc Gasol ,24119025,2018,2019
Chandler Parsons ,24107258,2018,2019
Harrison Barnes ,24107258,2018,2019
Nicolas Batum ,24000000,2018,2019
Rudy Gobert ,23491573,2018,2019
Kawhi Leonard ,23114066,2018,2019
DeAndre Jordan ,22897200,2018,2019
LaMarcus Aldridge ,22347015,2018,2019
Serge Ibaka ,21666667,2018,2019
Aaron Gordon ,21590909,2018,2019
Danilo Gallinari ,21587579,2018,2019
Victor Oladipo ,21000000,2018,2019
Ryan Anderson ,20421546,2018,2019
Joakim Noah ,20261172,2018,2019
Kyrie Irving ,20099189,2018,2019
Jabari Parker ,20000000,2018,2019
Jimmy Butler ,19841627,2018,2019
Zach LaVine ,19500000,2018,2019
Wesley Matthews ,19360228,2018,2019
Allen Crabbe ,19332500,2018,2019
Enes Kanter ,19264603,2018,2019
Tyler Johnson ,19245370,2018,2019
John Wall ,19169800,2018,2019
George Hill ,19000000,2018,2019
Jeff Teague ,19000000,2018,2019
Klay Thompson ,18988725,2018,2019
Goran Dragic ,18109175,2018,2019
Kent Bazemore ,18089888,2018,2019
Evan Turner ,17868853,2018,2019
Tristan Thompson ,17469565,2018,2019
Draymond Green ,17469565,2018,2019
Tim Hardaway Jr ,17325000,2018,2019
Pau Gasol ,17133285,2018,2019
Reggie Jackson ,17043478,2018,2019
Bismack Biyombo ,17000000,2018,2019
Evan Fournier ,17000000,2018,2019
Derrick Favors ,16900000,2018,2019
Luol Deng ,16747954,2018,2019
Jonas Valanciunas ,16539326,2018,2019
Gary Harris ,16517857,2018,2019
Andre Iguodala ,16000000,2018,2019
Timofey Mozgov ,16000000,2018,2019
Ian Mahinmi ,16000000,2018,2019
Clint Capela ,15793104,2018,2019
Dennis Schroeder ,15500000,2018,2019
DeMarre Carroll ,15400000,2018,2019
Gorgui Dieng ,15170787,2018,2019
Eric Bledsoe ,15000000,2018,2019
Trevor Ariza ,15000000,2018,2019
Tobias Harris ,14800000,2018,2019
Ricky Rubio ,14800000,2018,2019
JR Smith ,14720000,2018,2019
Brandon Knight ,14631250,2018,2019
James Johnson ,14420700,2018,2019
Robin Lopez ,14357750,2018,2019
Kenneth Faried ,14242782,2018,2019
Marvin Williams ,14087500,2018,2019
Taj Gibson ,14000000,2018,2019
Thaddeus Young ,13764045,2018,2019
Tyson Chandler ,13585000,2018,2019
Marcin Gortat ,13565218,2018,2019
Kelly Olynyk ,13537527,2018,2019
Cody Zeller ,13528090,2018,2019
Eric Gordon ,13500375,2018,2019
