,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
0,Shareef Abdur-Rahim,2186000,1996,Center and Small Forward and Power Forward,80,35.0,11.1,3.0,0,0.2040321075228672
1,Ray Allen,1785000,1996,Shooting Guard,82,31.0,8.9,5.0,0,0.1666044427851409
2,Shandon Anderson,220000,1996,Small Forward and Shooting Guard,65,16.4,6.8,54.0,0,0.0205338809034907
3,Marcus Brown,220000,1996,Point Guard and Shooting Guard,21,8.7,6.7,46.0,0,0.0205338809034907
4,Kobe Bryant,1015000,1996,Shooting Guard and Small Forward,71,15.5,9.0,13.0,0,0.0947358596229232
5,Marcus Camby,2434000,1996,Center and Power Forward,63,30.1,10.7,2.0,0,0.2271793914504386
6,Erick Dampier,1184000,1996,Center,72,14.6,7.0,10.0,0,0.1105096135896957
7,Ben Davis,220000,1996,Power Forward,20,4.9,2.2,43.0,0,0.0205338809034907
8,Tony Delk,870000,1996,Shooting Guard and Point Guard,61,14.2,9.3,16.0,0,0.0812021653910771
9,Brian Evans,551000,1996,Small Forward,14,4.1,6.7,27.0,0,0.0514280380810154
10,Derek Fisher,612000,1996,Point Guard and Shooting Guard,80,11.5,7.8,24.0,0,0.0571215232406197
11,Todd Fuller,1125000,1996,Center,75,12.6,4.5,11.0,0,0.1050028000746686
12,Reggie Geary,220000,1996,Point Guard,39,6.2,5.3,56.0,0,0.0205338809034907
13,Steve Hamer,220000,1996,Center,35,7.6,4.7,38.0,0,0.0205338809034907
14,Othella Harrington,247500,1996,Center and Power Forward,57,15.1,6.5,30.0,0,0.0231006160164271
15,Mark Hendrickson,247000,1996,Power Forward,29,10.3,7.1,31.0,0,0.0230539481052828
16,Allen Iverson,2267000,1996,Shooting Guard and Point Guard,76,40.0,10.7,1.0,0,0.2115923091282434
17,Kerry Kittles,1356000,1996,Shooting Guard,82,36.8,10.2,8.0,0,0.1265633750233339
18,Travis Knight,220000,1996,Center,71,16.3,8.3,29.0,0,0.0205338809034907
19,Priest Lauderdale,548000,1996,Center,35,5.1,5.3,28.0,0,0.0511480306141497
20,Randy Livingston,220000,1996,Point Guard,64,15.3,5.5,42.0,0,0.0205338809034907
21,Stephon Marbury,1917000,1996,Point Guard,67,34.7,10.7,4.0,0,0.1789247713272354
22,Walter McCarty,750000,1996,Small Forward and Power Forward,35,5.4,0.9,19.0,0,0.0700018667164457
23,Amal McCaskill,220000,1996,Center,17,6.4,5.4,49.0,0,0.0205338809034907
24,Martin Muursepp,401000,1996,Power Forward,42,8.3,6.7,25.0,0,0.0374276647377263
25,Steve Nash,916000,1996,Point Guard,65,10.5,6.9,15.0,0,0.0854956132163524
26,Jermaine O'Neal,827000,1996,Power Forward and Center,45,10.2,9.7,17.0,0,0.0771887250326675
27,Vitaly Potapenko,1068000,1996,Center,80,15.5,4.1,12.0,0,0.0996826582042187
28,Chris Robinson,220000,1996,Shooting Guard,41,16.6,4.5,51.0,0,0.0205338809034907
29,Roy Rogers,664000,1996,Power Forward,82,22.6,6.9,22.0,0,0.0619749859996266
30,Malik Rose,220000,1996,Small Forward and Power Forward,54,9.7,6.5,44.0,0,0.0205338809034907
31,Antoine Walker,1620000,1996,Power Forward,82,36.2,9.4,6.0,0,0.1512040321075228
32,Samaki Walker,1246000,1996,Power Forward and Center,43,14.0,7.4,9.0,0,0.1162964345715885
33,John Wallace,785000,1996,Small Forward,68,11.6,9.3,18.0,0,0.0732686204965465
34,Jerome Williams,568000,1996,Power Forward and Small Forward,33,5.3,8.0,26.0,0,0.0530147470599215
35,Lorenzen Wright,1480000,1996,Center,77,25.2,7.2,7.0,0,0.1381370169871196
36,Tariq Abdul-Wahad,1226880,1997,Shooting Guard,59,16.3,5.3,11.0,0,0.0598478048780487
37,Ray Allen,2052360,1997,Shooting Guard,82,40.1,10.9,5.0,1,0.1001151219512195
38,Derek Anderson,1107240,1997,Shooting Guard and Small Forward and Point Guard,66,27.8,11.9,13.0,0,0.0540117073170731
39,Shandon Anderson,1200000,1997,Small Forward and Shooting Guard,82,19.5,11.2,54.0,1,0.0585365853658536
40,Chris Anstey,713900,1997,Center,41,16.6,7.7,18.0,0,0.0348243902439024
41,Tony Battie,1946880,1997,Center and Power Forward,65,23.2,7.7,5.0,0,0.0949697560975609
42,Chauncey Billups,2384640,1997,Point Guard and Shooting Guard,80,27.7,9.0,3.0,0,0.1163239024390244
43,Keith Booth,597600,1997,Small Forward,6,2.8,6.1,28.0,0,0.0291512195121951
44,Kobe Bryant,1167240,1997,Shooting Guard and Small Forward,79,26.1,11.6,13.0,1,0.0569385365853658
45,Marcus Camby,2799240,1997,Center and Power Forward,63,31.7,8.4,2.0,1,0.1365482926829268
46,Kelvin Cato,999240,1997,Center and Power Forward,74,13.6,7.5,15.0,0,0.0487434146341463
47,James Collins,242000,1997,Shooting Guard,23,4.4,5.8,36.0,0,0.0118048780487804
48,James Cotton,242000,1997,Shooting Guard,9,3.8,5.5,32.0,0,0.0118048780487804
49,Chris Crawford,242000,1997,Power Forward,40,6.4,9.7,50.0,0,0.0118048780487804
50,Austin Croshere,1165440,1997,Power Forward,26,9.4,3.9,12.0,0,0.056850731707317
