,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
0,Shareef Abdur-Rahim,2186000,1996,Center and Small Forward and Power Forward,80,35.0,11.1,3.0,0
1,Ray Allen,1785000,1996,Shooting Guard,82,31.0,8.9,5.0,0
2,Shandon Anderson,220000,1996,Small Forward and Shooting Guard,65,16.4,6.8,54.0,0
3,Marcus Brown,220000,1996,Point Guard and Shooting Guard,21,8.7,6.7,46.0,0
4,Kobe Bryant,1015000,1996,Shooting Guard and Small Forward,71,15.5,9.0,13.0,0
5,Marcus Camby,2434000,1996,Center and Power Forward,63,30.1,10.7,2.0,0
6,Erick Dampier,1184000,1996,Center,72,14.6,7.0,10.0,0
7,Ben Davis,220000,1996,Power Forward,20,4.9,2.2,43.0,0
8,Tony Delk,870000,1996,Shooting Guard and Point Guard,61,14.2,9.3,16.0,0
9,Brian Evans,551000,1996,Small Forward,14,4.1,6.7,27.0,0
10,Derek Fisher,612000,1996,Point Guard and Shooting Guard,80,11.5,7.8,24.0,0
11,Todd Fuller,1125000,1996,Center,75,12.6,4.5,11.0,0
12,Reggie Geary,220000,1996,Point Guard,39,6.2,5.3,56.0,0
13,Steve Hamer,220000,1996,Center,35,7.6,4.7,38.0,0
14,Othella Harrington,247500,1996,Center and Power Forward,57,15.1,6.5,30.0,0
15,Mark Hendrickson,247000,1996,Power Forward,29,10.3,7.1,31.0,0
16,Zydrunas Ilgauskas,720000,1996,Center,0,0.0,0.0,20.0,0
17,Allen Iverson,2267000,1996,Shooting Guard and Point Guard,76,40.0,10.7,1.0,0
18,Dontae' Jones,691000,1996,Small Forward,0,0.0,0.0,21.0,0
19,Kerry Kittles,1356000,1996,Shooting Guard,82,36.8,10.2,8.0,0
20,Travis Knight,220000,1996,Center,71,16.3,8.3,29.0,0
21,Priest Lauderdale,548000,1996,Center,35,5.1,5.3,28.0,0
22,Randy Livingston,220000,1996,Point Guard,64,15.3,5.5,42.0,0
