name,salary,season_start,season_end,salary_bin
Stephen Curry ,37457154,2018,2019,max
Russell Westbrook ,35665000,2018,2019,max
Chris Paul ,35654150,2018,2019,max
LeBron James ,35654150,2018,2019,max
Kyle Lowry ,32700000,2018,2019,max
Blake Griffin ,31873932,2018,2019,max
Gordon Hayward ,31214295,2018,2019,max
James Harden ,30570000,2018,2019,max
Paul George ,30560700,2018,2019,max
Mike Conley ,30521115,2018,2019,max
Kevin Durant ,30000000,2018,2019,max
Paul Millsap ,29230769,2018,2019,max
Al Horford ,28928710,2018,2019,max
Damian Lillard ,27977689,2018,2019,max
DeMar DeRozan ,27739975,2018,2019,max
Chris Bosh ,26837720,2018,2019,near max
Jrue Holiday ,26641111,2018,2019,near max
Otto Porter ,26011913,2018,2019,near max
CJ McCollum ,25759766,2018,2019,near max
Nikola Jokic ,25467250,2018,2019,near max
Andrew Wiggins ,25467250,2018,2019,near max
Joel Embiid ,25467250,2018,2019,near max
Anthony Davis ,25434263,2018,2019,near max
Andre Drummond ,25434262,2018,2019,near max
Bradley Beal ,25434262,2018,2019,near max
Hassan Whiteside ,24434262,2018,2019,near max
Dwight Howard ,24256725,2018,2019,near max
Giannis Antetokounmpo ,24157304,2018,2019,near max
Steven Adams ,24157304,2018,2019,near max
Kevin Love ,24119025,2018,2019,near max
Marc Gasol ,24119025,2018,2019,near max
Chandler Parsons ,24107258,2018,2019,near max
Harrison Barnes ,24107258,2018,2019,near max
Nicolas Batum ,24000000,2018,2019,near max
Rudy Gobert ,23491573,2018,2019,near max
Kawhi Leonard ,23114066,2018,2019,near max
DeAndre Jordan ,22897200,2018,2019,near max
LaMarcus Aldridge ,22347015,2018,2019,near max
Serge Ibaka ,21666667,2018,2019,near max
Aaron Gordon ,21590909,2018,2019,near max
Danilo Gallinari ,21587579,2018,2019,near max
Victor Oladipo ,21000000,2018,2019,near max
Ryan Anderson ,20421546,2018,2019,near max
Joakim Noah ,20261172,2018,2019,near max
Kyrie Irving ,20099189,2018,2019,near max
Jabari Parker ,20000000,2018,2019,near max
Jimmy Butler ,19841627,2018,2019,near max
Zach LaVine ,19500000,2018,2019,near max
Wesley Matthews ,19360228,2018,2019,near max
Allen Crabbe ,19332500,2018,2019,near max
Enes Kanter ,19264603,2018,2019,near max
Tyler Johnson ,19245370,2018,2019,near max
John Wall ,19169800,2018,2019,near max
George Hill ,19000000,2018,2019,near max
Jeff Teague ,19000000,2018,2019,near max
Klay Thompson ,18988725,2018,2019,near max
Goran Dragic ,18109175,2018,2019,above average
Kent Bazemore ,18089888,2018,2019,above average
Evan Turner ,17868853,2018,2019,above average
Tristan Thompson ,17469565,2018,2019,above average
Draymond Green ,17469565,2018,2019,above average
Tim Hardaway Jr ,17325000,2018,2019,above average
Pau Gasol ,17133285,2018,2019,above average
Reggie Jackson ,17043478,2018,2019,above average
Bismack Biyombo ,17000000,2018,2019,above average
Evan Fournier ,17000000,2018,2019,above average
Derrick Favors ,16900000,2018,2019,above average
Luol Deng ,16747954,2018,2019,above average
Jonas Valanciunas ,16539326,2018,2019,above average
Gary Harris ,16517857,2018,2019,above average
Andre Iguodala ,16000000,2018,2019,above average
Timofey Mozgov ,16000000,2018,2019,above average
Ian Mahinmi ,16000000,2018,2019,above average
Clint Capela ,15793104,2018,2019,above average
Dennis Schroeder ,15500000,2018,2019,above average
DeMarre Carroll ,15400000,2018,2019,above average
Gorgui Dieng ,15170787,2018,2019,above average
Eric Bledsoe ,15000000,2018,2019,above average
Trevor Ariza ,15000000,2018,2019,above average
Tobias Harris ,14800000,2018,2019,above average
Ricky Rubio ,14800000,2018,2019,above average
JR Smith ,14720000,2018,2019,above average
Brandon Knight ,14631250,2018,2019,above average
James Johnson ,14420700,2018,2019,above average
Robin Lopez ,14357750,2018,2019,above average
Kenneth Faried ,14242782,2018,2019,above average
Marvin Williams ,14087500,2018,2019,above average
Taj Gibson ,14000000,2018,2019,above average
Thaddeus Young ,13764045,2018,2019,above average
Tyson Chandler ,13585000,2018,2019,above average
Marcin Gortat ,13565218,2018,2019,above average
Kelly Olynyk ,13537527,2018,2019,above average
Cody Zeller ,13528090,2018,2019,above average
Eric Gordon ,13500375,2018,2019,above average
Austin Rivers ,13155324,2018,2019,above average
Michael Kidd-Gilchrist ,13000000,2018,2019,above average
Khris Middleton ,13000000,2018,2019,above average
