name,salary,season_start,season_end,salary_bin,position
Kareem Abdul-Jabbar,1530000,1984,1985,average,Center
Alvan Adams,500000,1984,1985,below average,Center and Power Forward
Mark Aguirre,800000,1984,1985,below average,Small Forward
Danny Ainge,400000,1984,1985,minimum,Shooting Guard and Point Guard
John Bagley,209000,1984,1985,minimum,Point Guard
Thurl Bailey,225000,1984,1985,minimum,Power Forward and Small Forward
Greg Ballard,350000,1984,1985,minimum,Small Forward
Gene Banks,265000,1984,1985,minimum,Small Forward and Power Forward
Charles Barkley,307000,1984,1985,minimum,Small Forward and Power Forward
Kent Benson,270000,1984,1985,minimum,Center
Larry Bird,1800000,1984,1985,average,Power Forward and Small Forward
Otis Birdsong,1075000,1984,1985,below average,Shooting Guard
Rolando Blackman,215000,1984,1985,minimum,Shooting Guard
Tom Boswell,65000,1984,1985,minimum,Power Forward
Randy Breuer,167000,1984,1985,minimum,Center
Junior Bridgeman,350000,1984,1985,minimum,Shooting Guard and Small Forward
Rickey Brown,160000,1984,1985,minimum,Center
Wallace Bryant,130000,1984,1985,minimum,Center
Quinn Buckner,239000,1984,1985,minimum,Shooting Guard and Point Guard
Don Buse,130000,1984,1985,minimum,Shooting Guard and Point Guard
Tony Campbell,110000,1984,1985,minimum,Small Forward and Shooting Guard
Kenny Carr,465000,1984,1985,minimum,Power Forward
M.L. Carr,175000,1984,1985,minimum,Small Forward
Butch Carter,160000,1984,1985,minimum,Small Forward and Shooting Guard
Bill Cartwright,600000,1984,1985,below average,Center
Harvey Catchings,262000,1984,1985,minimum,Center and Power Forward
Tom Chambers,374000,1984,1985,minimum,Power Forward
Maurice Cheeks,350000,1984,1985,minimum,Point Guard
Carlos Clark,65000,1984,1985,minimum,Shooting Guard
Lester Conner,160000,1984,1985,minimum,Shooting Guard and Point Guard
Darwin Cook,255000,1984,1985,minimum,Point Guard and Shooting Guard
Jeff Cook,142000,1984,1985,minimum,Center and Power Forward and Small Forward
Michael Cooper,325000,1984,1985,minimum,Shooting Guard
Wayne Cooper,280000,1984,1985,minimum,Center and Power Forward
Dave Corzine,660000,1984,1985,below average,Center
Pat Cummings,800000,1984,1985,below average,Power Forward and Center
Terry Cummings,410000,1984,1985,minimum,Power Forward and Small Forward
Earl Cureton,200000,1984,1985,minimum,Center and Power Forward
Quintin Dailey,410000,1984,1985,minimum,Shooting Guard
Adrian Dantley,515000,1984,1985,below average,Small Forward
Brad Davis,210000,1984,1985,minimum,Point Guard
Johnny Davis,475000,1984,1985,minimum,Point Guard and Shooting Guard
Walter Davis,670000,1984,1985,below average,Small Forward and Shooting Guard
Darryl Dawkins,768000,1984,1985,below average,Center
Darren Daye,95000,1984,1985,minimum,Small Forward
James Donaldson,470000,1984,1985,minimum,Center
John Drew,250000,1984,1985,minimum,Power Forward and Small Forward
Larry Drew,700000,1984,1985,below average,Point Guard
Clyde Drexler,175000,1984,1985,minimum,Shooting Guard
Mark Eaton,133000,1984,1985,minimum,Center
James Edwards,406000,1984,1985,minimum,Center
Craig Ehlo,80000,1984,1985,minimum,Shooting Guard
Dale Ellis,200000,1984,1985,minimum,Small Forward and Shooting Guard
Alex English,790000,1984,1985,below average,Small Forward
Julius Erving,1054000,1984,1985,below average,Small Forward
Mike Evans,60000,1984,1985,minimum,Point Guard and Shooting Guard
Sleepy Floyd,200000,1984,1985,minimum,Shooting Guard and Point Guard
Rod Foster,125000,1984,1985,minimum,Point Guard
World B. Free,675000,1984,1985,below average,Point Guard and Shooting Guard
Bill Garnett,269000,1984,1985,minimum,Center and Power Forward
George Gervin,831000,1984,1985,below average,Shooting Guard and Small Forward
Artis Gilmore,600000,1984,1985,below average,Center
Mike Gminski,350000,1984,1985,minimum,Center
Rickey Green,255000,1984,1985,minimum,Point Guard
Sidney Green,275000,1984,1985,minimum,Center and Power Forward
Dave Greenwood,550000,1984,1985,below average,Power Forward
Kevin Grevey,383000,1984,1985,minimum,Shooting Guard and Small Forward
Darrell Griffith,363000,1984,1985,minimum,Shooting Guard
Ernie Grunfeld,250000,1984,1985,minimum,Shooting Guard and Small Forward
Bob Hansen,65000,1984,1985,minimum,Shooting Guard
Derek Harper,200000,1984,1985,minimum,Shooting Guard and Point Guard
Scott Hastings,160000,1984,1985,minimum,Power Forward and Center
Rod Higgins,160000,1984,1985,minimum,Power Forward and Small Forward
Roy Hinson,150000,1984,1985,minimum,Small Forward and Power Forward
Craig Hodges,100000,1984,1985,minimum,Point Guard and Shooting Guard
Phil Hubbard,200000,1984,1985,minimum,Power Forward and Small Forward
Marc Iavaroni,100000,1984,1985,minimum,Power Forward
Dan Issel,614000,1984,1985,below average,Center and Power Forward
Clemon Johnson,406000,1984,1985,minimum,Center
Dennis Johnson,405000,1984,1985,minimum,Point Guard and Shooting Guard
Eddie Johnson,491000,1984,1985,below average,Shooting Guard
Eddie Johnson,225000,1984,1985,minimum,Shooting Guard and Small Forward
Frank Johnson,232000,1984,1985,minimum,Point Guard
